"omega","alpha1","beta1","shape"
0.000363822196149177,0.0960037028429289,0.824481269009233,5.40304209983942
0.00040318212551913,0.179960834117208,0.756917315940464,4.60445800613773
0.000479235383467392,0.194017483335166,0.699671148912959,6.00452095956664
0.000236246690895737,0.0818464534487837,0.854270705829174,8.20516789877139
0.000555346432747329,0.181014474452363,0.698430958575046,4.80044898903724
0.000564075530885445,0.128666090517255,0.724932650793809,7.46526812574387
0.000453526775017044,0.13046144814284,0.76581302798182,5.08779883211367
0.000260392382751013,0.174687300251363,0.794771321733915,4.57949122742238
0.000566611143554475,0.185162264736244,0.649684847813162,6.71582249280784
0.000268035116535339,0.122863014460421,0.8317252543097,4.53768828429642
0.000549557938969382,0.11517995684608,0.763642497786546,5.25363872611713
0.000407775659302087,0.193601556689694,0.704854235593313,6.55897228564576
0.000349017675426659,0.188136058993617,0.770601345079354,4.31214914749997
0.000145805738825678,0.038000150905319,0.928107692173513,4.833039025513
0.000264695066012705,0.171798038872539,0.793208042172628,4.89248494991818
0.000423392648412941,0.0929751103742038,0.792950277828949,5.84115921505182
0.000270844185098623,0.100538091581565,0.834696961801198,5.72303157847689
0.00019338382651954,0.0569933699970293,0.889833045018426,5.11165807339375
0.000292021755041548,0.0927178869595756,0.820140349737411,5.83471846153264
0.000540872142220243,0.228781936563994,0.729944805094309,3.76471025099732
0.000539392070591442,0.266165240122374,0.699250670524563,4.00260476734516
0.000330962275402,0.185923858073354,0.744134667414055,4.88307964018571
0.00113070075535609,0.200414168730564,0.580000219859067,3.9480459416322
0.000459182760240802,0.0925544091458831,0.777298701715519,6.18454922812584
0.000570726118031093,0.119744013207919,0.756628234882215,5.50242662165016
0.000242783259697124,0.139312321949275,0.806412301249966,5.83900734423005
0.000376387056716995,0.166419336400848,0.77391657865399,5.3154902958286
0.000395331750286351,0.103173831115499,0.780317471241972,5.36963583487062
0.000382147165248206,0.116415843787132,0.803889390389395,5.30881339142084
0.000286129336379168,0.137578961044587,0.818788344609042,3.85353275211112
0.000390033082709786,0.130859409642591,0.775173465623703,4.22198107440848
0.000208986169714277,0.098946484351127,0.853837259342436,4.70438228171929
0.000431867972661868,0.1119628992551,0.782821474571913,7.00676906452427
0.000423186071982839,0.115924343541262,0.795571517863005,5.98507161777796
0.000406072090787372,0.145715486354055,0.783566169777371,4.05139011661907
0.000383599644937613,0.147305761263549,0.799089104721513,3.94134752603096
0.000343875683662692,0.127560495006386,0.823796856744881,3.60030318228729
0.000906104266598079,0.147220913539489,0.626405091984257,4.62650721283249
0.000530624555644276,0.179903078953172,0.677703308052907,5.80995725454411
0.000428947799111636,0.140095897047954,0.787259217186175,4.90612387268894
0.000553814196692408,0.168454733224758,0.733153997932458,4.98492193272454
0.000608532142174678,0.135226702168238,0.731445964279001,5.01192366223406
0.000341045264601638,0.218151329225097,0.719599896451974,5.64507217294836
0.000387155694525435,0.13135806852974,0.762820060427176,6.29710457878249
0.000305487619135507,0.150598299531972,0.777584688315077,5.72085949660769
0.000455601124627659,0.152085925762828,0.756981405277165,4.58786102825095
0.000298599332655797,0.114767052504091,0.804434626665463,5.67157500050123
0.000519453456917998,0.18055733117965,0.710600700462199,7.07603499129147
0.000402761623800528,0.256196090256118,0.707555559566049,4.46869499989826
0.000326264955395553,0.113310342851354,0.813136476434359,7.52353561561717
0.000507636211692476,0.21808499573953,0.71808059332891,4.48229277168543
0.000401837190595394,0.0821673158796965,0.812201512703875,5.50060864360027
0.000306167409487529,0.0816967160688411,0.840467991421324,5.08768832403995
0.000477734030350263,0.199320520025993,0.739922828266017,4.41990559805252
0.000477769016678653,0.148455758369384,0.750492690543781,4.6163372353069
0.000426643007222713,0.0803893076370307,0.787214639865859,4.99891446829623
0.000546213618853797,0.182162650928855,0.71079672975149,4.67977537376119
0.000300101611405915,0.166234321657307,0.794670025489201,4.40145292753758
0.000327447437560947,0.0835371615407784,0.859792185307788,4.14983215876763
0.000492596146494477,0.214550599111987,0.725650852154215,4.10677300708163
0.000431826239906604,0.0896617865240894,0.813340395143009,5.42864781018285
0.000851513403959395,0.210118227587064,0.616514767939103,4.78575535190229
0.000546339637081653,0.127846562015549,0.729893578031191,4.94898841550565
0.000325154272819085,0.080583048739802,0.825599080068451,6.73582692518043
0.000658255884332954,0.158619020885768,0.737061513666018,3.98186030618322
0.000485194471066005,0.125375329775724,0.755354337642122,4.98050929389413
0.000339421605076893,0.197163656760829,0.728633366274064,6.57135855034947
0.000442928420252572,0.180626579915995,0.743937503580684,4.46188248021494
0.000492263999680178,0.116113374629682,0.744914954563626,6.78250324958913
0.000439248244302581,0.146650188516163,0.74979599783139,5.48578214636806
0.000367943453732943,0.0888961218000313,0.812860249312226,5.17895277670224
